"","DATE","PMID","TITLE","JOURNAL","YEAR","DOI","AUTHORS","FULL_JOURNAL_NAME","IF"
"8","2021 Oct","34616075","A multimodal cell census and atlas of the mammalian primary motor cortex.","Nature","2021","10.1038/s41586-021-03950-0","BRAIN Initiative Cell Census Network BICCN","nature","42.778"
"9","2021 Oct","34616062","Comparative cellular analysis of motor cortex in human, marmoset and mouse.","Nature","2021","10.1038/s41586-021-03465-8","Bakken TE Jorstad NL Hu Q Lake BB Tian W Kalmbach BE  Crow M Hodge RD Krienen FM Sorensen SA Eggermont J Yao Z  Aevermann BD Aldridge AI Bartlett A Bertagnolli D Casper  T Castanon RG Crichton K Daigle TL Dalley R Dee N  Dembrow N Diep D Ding SL Dong W Fang R Fischer S  Goldman M Goldy J Graybuck LT Herb BR Hou X Kancherla  J Kroll M Lathia K van Lew B Li YE Liu CS Liu  H Lucero JD Mahurkar A McMillen D Miller JA Moussa M  Nery JR Nicovich PR Niu SY Orvis J Osteen JK Owen  S Palmer CR Pham T Plongthongkum N Poirion O Reed  NM Rimorin C Rivkin A Romanow WJ SedenoCortes AE Siletti  K Somasundaram S Sulc J Tieu M Torkelson A Tung H Wang  X Xie F Yanny AM Zhang R Ament SA Behrens MM Bravo  HC Chun J Dobin A Gillis J Hertzano R Hof PR Hollt  T Horwitz GD Keene CD Kharchenko PV Ko AL Lelieveldt  BP Luo C Mukamel EA PintoDuarte A Preissl S Regev  A Ren B Scheuermann RH Smith K Spain WJ  White OR Koch C Hawrylycz M Tasic B Macosko EZ McCarroll  SA Ting JT Zeng H Zhang K Feng G Ecker  JR Linnarsson S Lein ES","nature","42.778"
"10","2021 Sep","34497388","A roadmap for the Human Developmental Cell Atlas.","Nature","2021","10.1038/s41586-021-03620-1","Haniffa M Taylor D Linnarsson S Aronow BJ  Bader GD Barker RA Camara PG Camp JG Chedotal A Copp  A Etchevers HC Giacobini P Gottgens B Guo G  Hupalowska A James KR Kirby E Kriegstein A Lundeberg J  Marioni JC Meyer KB Niakan KK Nilsson M Olabi B  Peer D Regev A Rood J RozenblattRosen O Satija  R Teichmann SA Treutlein B VentoTormo R Webb S  Human Cell Atlas Developmental Biological Network","nature","42.778"
"11","2021 Aug","34321664","Molecular architecture of the developing mouse brain.","Nature","2021","10.1038/s41586-021-03775-x","La Manno G Siletti K Furlan A Gyllborg D Vinsland  E Mossi Albiach A Mattsson Langseth C Khven I Lederer AR  Dratva LM Johnsson A Nilsson M Lonnerberg P Linnarsson S","nature","42.778"
"12","2021 Apr","33731935","Publisher Correction: LifeTime and improving European healthcare through  cell-based interceptive medicine.","Nature","2021","10.1038/s41586-021-03287-8.","Rajewsky N Almouzni G Gorski SA Aerts S  Amit I Bertero MG Bock C Bredenoord AL Cavalli G  Chiocca S Clevers H De Strooper B Eggert  A Ellenberg J Fernandez XM Figlerowicz M Gasser  SM Hubner N Kjems J Knoblich JA  Krabbe G Lichter P Linnarsson S Marine JC Marioni  JC MartiRenom MA Netea MG Nickel  D Nollmann M Novak HR Parkinson H Piccolo S  Pinheiro I Pombo A Popp C Reik W RomanRoman  S Rosenstiel P Schultze JL Stegle O  Tanay A Testa G Thanos D Theis FJ TorresPadilla  ME Valencia A Vallot C van Oudenaarden A  Vidal M Voet T LifeTime Community Working Groups","nature","42.778"
"13","2021 Mar","33654293","Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and  demographics.","Nat Med","2021","10.1038/s41591-020-01227-z","Muus C Luecken MD Eraslan G Sikkema L Waghray  A Heimberg G Kobayashi Y Vaishnav ED  Subramanian A Smillie C Jagadeesh KA Duong ET  Fiskin E Torlai Triglia E Ansari M Cai P Lin  B Buchanan J Chen S Shu J Haber  AL Chung H Montoro DT Adams T Aliee H Allon  SJ Andrusivova Z Angelidis I Ashenberg O Bassler  K Becavin C Benhar I Bergenstrahle J Bergenstrahle L  Bolt L Braun E Bui LT Callori S Chaffin M  Chichelnitskiy E Chiou J Conlon TM Cuoco MS Cuomo  ASE Deprez M Duclos G Fine D Fischer DS Ghazanfar  S Gillich A Giotti B Gould J Guo M Gutierrez AJ  Habermann AC Harvey T He P Hou X Hu L Hu Y  Jaiswal A Ji L Jiang P Kapellos TS Kuo CS Larsson L  LeneyGreene MA Lim K Litvinukova M Ludwig LS Lukassen  S Luo W Maatz H Madissoon E Mamanova L  Manakongtreecheep K Leroy S Mayr CH Mbano IM  McAdams AM Nabhan AN Nyquist SK Penland L Poirion  OB Poli S Qi C Queen R Reichart D Rosas  I Schupp JC Shea CV Shi X Sinha R Sit RV  Slowikowski K Slyper M Smith NP Sountoulidis A Strunz  M Sullivan TB Sun D TalaveraLopez C Tan P Tantivit  J Travaglini KJ Tucker NR Vernon KA  Wadsworth MH Waldman J Wang X Xu K Yan W  Zhao W Ziegler CGK NHLBI LungMap Consortium Human Cell Atlas  Lung Biological Network","nature medicine","36.130"
"14","2021 Feb","33500565","Building a high-quality Human Cell Atlas.","Nat Biotechnol","2021","10.1038/s41587-020-00812-4.","RozenblattRosen O Shin JW Rood JE Hupalowska A Human Cell  Atlas Standards and Technology Working Group Regev A Heyn H","nature biotechnology","36.558"
"16","2020 Nov","32894860","LifeTime and improving European healthcare through cell-based interceptive  medicine.","Nature","2020","10.1038/s41586-020-2715-9","Rajewsky N Almouzni G Gorski SA Aerts S  Amit I Bertero MG Bock C Bredenoord AL Cavalli G  Chiocca S Clevers H De Strooper B Eggert  A Ellenberg J Fernandez XM Figlerowicz M Gasser  SM Hubner N Kjems J Knoblich JA  Krabbe G Lichter P Linnarsson S Marine JC Marioni  JC MartiRenom MA Netea MG Nickel  D Nollmann M Novak HR Parkinson H Piccolo S  Pinheiro I Pombo A Popp C Reik W RomanRoman  S Rosenstiel P Schultze JL Stegle O  Tanay A Testa G Thanos D Theis FJ TorresPadilla  ME Valencia A Vallot C van Oudenaarden A  Vidal M Voet T LifeTime Community Working Groups","nature","42.778"
"20","2018 Nov","30377364","Spatial organization of the somatosensory cortex revealed by osmFISH.","Nat Methods","2018","10.1038/s41592-018-0175-z","Codeluppi S Borm LE Zeisel A La Manno G van  Lunteren JA Svensson CI Linnarsson S","nature methods","30.822"
"23","2018 Aug 9","30096314","Molecular Architecture of the Mouse Nervous System.","Cell","2018","10.1016/j.cell.2018.06.021.","Zeisel A Hochgerner H Lonnerberg P Johnsson A Memic F van  der Zwan J Haring M Braun E Borm LE La Manno G Codeluppi  S Furlan A Lee K Skene N Harris KD HjerlingLeffler J  Arenas E Ernfors P Marklund U Linnarsson S","cell","38.637"
